#k-distance eigenvalue[eV]
2.20467960 -2.85590000
2.25013575 -2.83960000
2.29559187 -2.81260000
2.34104801 -2.77490000
2.38650415 -2.72670000
2.43196030 -2.66810000
2.47741642 -2.59960000
2.52287256 -2.52130000
2.56832871 -2.43370000
2.56832871 -2.43370000
2.70469711 -2.12030000
2.84106554 -1.74460000
2.97743395 -1.33430000
3.11380236 -0.92720000
3.25017078 -0.56840000
3.38653919 -0.29430000
3.52290760 -0.11880000
3.65927603 -0.02740000
3.79564443 0.00000000

0.00000000 1.54080000
0.11134435 1.56840000
0.22268869 1.64380000
0.33403304 1.76770000
0.44537737 1.93570000
0.55672172 2.13860000
0.66806606 2.35450000
0.77941041 2.54740000
0.89075474 2.62920000
1.00209910 2.56610000
1.00209910 2.56610000
1.13066848 2.43680000
1.25923784 2.11140000
1.38780723 1.70620000
1.51637659 1.30940000
1.64494597 0.97330000
1.77351533 0.73190000
1.90208472 0.59800000
2.03065408 0.58900000
2.15922346 0.71590000
2.15922346 0.71590000
2.20467960 0.72220000
2.25013575 0.74100000
2.29559187 0.77220000
2.34104801 0.81580000
2.38650415 0.87160000
2.43196030 0.93970000
2.47741642 1.01830000
2.52287256 1.10900000
2.56832871 1.21130000
2.56832871 1.21130000
2.70469711 1.57400000
2.84106554 2.00570000
2.97743395 2.45810000
3.11380236 2.84320000
3.25017078 3.04710000
3.38653919 3.04780000
3.52290760 2.81630000
3.65927603 2.62870000
3.79564443 2.56610000

0.00000000 3.35160000
0.11134435 3.37890000
0.22268869 3.44440000
0.33403304 3.51790000
0.44537737 3.54390000
0.55672172 3.44890000
0.66806606 3.21620000
0.77941041 2.91720000
0.89075474 2.66560000
1.00209910 2.56610000
1.00209910 2.56610000
1.13066848 2.84650000
1.25923784 3.51150000
1.38780723 4.30980000
1.51637659 3.56860000
1.64494597 2.73370000
1.77351533 2.00270000
1.90208472 1.41810000
2.03065408 0.99050000
2.15922346 0.71590000
2.15922346 0.71590000
2.20467960 0.78430000
2.25013575 0.97880000
2.29559187 1.27540000
2.34104801 1.64870000
2.38650415 2.07900000
2.43196030 2.55140000
2.47741642 3.05740000
2.52287256 3.58940000
2.56832871 4.14180000
2.56832871 4.14180000
2.70469711 5.82280000
2.84106554 5.59010000
2.97743395 4.79710000
3.11380236 4.12160000
3.25017078 3.56420000
3.38653919 3.12860000
3.52290760 2.93620000
3.65927603 2.68460000
3.79564443 2.56610000

0.00000000 3.35160000
0.11134435 3.37890000
0.22268869 3.44440000
0.33403304 3.51790000
0.44537737 3.54390000
0.55672172 3.44890000
0.66806606 3.21620000
0.77941041 2.91720000
0.89075474 2.66560000
1.00209910 2.56610000
1.00209910 2.56610000
1.13066848 2.84650000
1.25923784 3.51150000
1.38780723 4.35530000
1.51637659 5.28700000
1.64494597 6.26810000
1.77351533 7.29760000
1.90208472 8.33730000
2.03065408 9.38210000
2.15922346 10.12240000
2.15922346 10.12240000
2.20467960 10.04810000
2.25013575 9.84870000
2.29559187 9.56960000
2.34104801 9.24690000
2.38650415 8.89920000
2.43196030 8.54710000
2.47741642 8.19070000
2.52287256 7.83730000
2.56832871 7.49080000
2.56832871 7.49080000
2.70469711 6.48890000
2.84106554 5.93300000
2.97743395 5.15530000
3.11380236 4.45820000
3.25017078 3.86310000
3.38653919 3.37130000
3.52290760 2.97330000
3.65927603 2.76370000
3.79564443 2.56610000

0.00000000 7.72520000
0.11134435 7.76420000
0.22268869 7.85990000
0.33403304 7.86810000
0.44537737 7.35600000
0.55672172 6.45040000
0.66806606 5.45620000
0.77941041 4.47390000
0.89075474 3.66420000
1.00209910 3.36470000
1.00209910 3.36470000
1.13066848 3.69110000
